Name                                                                                                Stmts   Miss  Cover
polaris\cells\orchestration\workflow_runtime\internal\process_launcher.py                             141    114    19%
polaris\cells\orchestration\workflow_runtime\internal\runtime_backend_adapter.py                      211    160    24%
polaris\cells\orchestration\workflow_runtime\internal\runtime_contracts.py                            215     91    58%
polaris\cells\orchestration\workflow_runtime\internal\runtime_engine\__init__.py                        0      0   100%
polaris\cells\orchestration\workflow_runtime\internal\runtime_engine\runtime\__init__.py               12      0   100%
polaris\cells\orchestration\workflow_runtime\internal\runtime_engine\runtime\activity_registry.py      37     15    59%
polaris\cells\orchestration\workflow_runtime\internal\runtime_engine\runtime\factory.py                93     68    27%
polaris\cells\orchestration\workflow_runtime\internal\runtime_engine\runtime\workflow_registry.py      44     20    55%
polaris\cells\orchestration\workflow_runtime\internal\runtime_orchestrator.py                         170    108    36%
polaris\cells\orchestration\workflow_runtime\internal\task_trace.py                                    33     19    42%
polaris\cells\orchestration\workflow_runtime\internal\ui_state_contract.py                            112     30    73%
polaris\cells\orchestration\workflow_runtime\internal\unified_orchestration_service.py                388    317    18%
polaris\cells\orchestration\workflow_runtime\internal\workflow_client.py                              122     90    26%
polaris\cells\orchestration\workflow_runtime\public\__init__.py                                         5      0   100%
polaris\cells\orchestration\workflow_runtime\public\contracts.py                                      100     37    63%
polaris\cells\orchestration\workflow_runtime\public\process_launch.py                                 137     79    42%
polaris\cells\orchestration\workflow_runtime\public\runtime.py                                          3      0   100%
polaris\cells\orchestration\workflow_runtime\public\service.py                                         15      0   100%
polaris\cells\policy\__init__.py                                                                        0      0   100%
polaris\cells\policy\workspace_guard\__init__.py                                                        2      0   100%
polaris\cells\policy\workspace_guard\public\__init__.py                                                 2      0   100%
polaris\cells\policy\workspace_guard\public\contracts.py                                               21      0   100%
polaris\cells\policy\workspace_guard\public\service.py                                                  4      0   100%
polaris\cells\policy\workspace_guard\service.py                                                        32     20    38%
polaris\cells\roles\__init__.py                                                                         0      0   100%
polaris\cells\roles\adapters\__init__.py                                                                2      1    50%
polaris\cells\roles\adapters\internal\__init__.py                                                      16     10    38%
polaris\cells\roles\adapters\internal\architect_adapter.py                                            443    383    14%
polaris\cells\roles\adapters\internal\base.py                                                         253    211    17%
polaris\cells\roles\adapters\internal\chief_engineer_adapter.py                                        50     38    24%
polaris\cells\roles\adapters\internal\director\__init__.py                                              7      5    29%
polaris\cells\roles\adapters\internal\director\adapter.py                                             189    180     5%
polaris\cells\roles\adapters\internal\director\adapter_sequential.py                                   87     82     6%
polaris\cells\roles\adapters\internal\director_adapter.py                                               3      1    67%
polaris\cells\roles\adapters\internal\director_execution_backend.py                                   154    113    27%
polaris\cells\roles\adapters\public\__init__.py                                                         3      1    67%
polaris\cells\roles\adapters\public\contracts.py                                                       66     22    67%
polaris\cells\roles\adapters\public\service.py                                                         43     38    12%
polaris\cells\roles\engine\__init__.py                                                                  2      0   100%
polaris\cells\roles\engine\internal\__init__.py                                                         0      0   100%
polaris\cells\roles\engine\internal\base.py                                                           170     81    52%
polaris\cells\roles\engine\internal\classifier.py                                                      93     73    22%
polaris\cells\roles\engine\internal\hybrid.py                                                         125     98    22%
polaris\cells\roles\engine\internal\plan_solve.py                                                     233    204    12%
